CNPJ,Endereço Completo,Latitude,Longitude,Região
,"Avenida RAIMUNDO PEREIRA DE MAGALHAES, 14000, Pirituba, São Paulo, São Paulo",-23.4973896,-46.7266245,
,"Estrada FERNANDO NOBRE, 283/487, PARQUE RINCAO, Cotia, São Paulo",-23.60389,-46.91917,
,"Rua ANTONIO OVIDIO RODRIGUES, 1389, PQ INDUSTRIAL JUNDIAI II, Jundiaí, São Paulo",-23.1557772,-47.0198521,
,"Praça BENEDITO MARTINS DA CRUZ, 20, Centro, Cajamar, São Paulo",-23.35611,-46.87694,
,"Avenida MASCOTE, 429, Vila Mascote, São Paulo, São Paulo",-23.6486173,-46.6656941,
,"Rua SANTO ANTONIO, 543, Bela Vista, São Paulo, São Paulo",-23.5572224,-46.6481436,
,"Rua Major Murzilho, 96, Centro, Bom Jesus dos Perdões, São Paulo",-23.135,-46.46528,
,"Rua MMDC, 546, PAULICEIA, São Bernardo do Campo, São Paulo",-23.6747014,-46.5915321,
,"Rua JOAO LEITE, 39, Centro, Boituva, São Paulo",-23.2858028,-47.6746236,
,"Avenida SÃO JOÃO, 1115, Centro, Atibaia, São Paulo",-23.1132176,-46.5569796,
,"Rua SENHORA MARIA APARECIDA PESSUTTI MILLEGO, 250, Parque Campolim, Sorocaba, São Paulo",-23.52819,-47.46832,
,"Rua MARIA CINTO DE BIAGGI, 164,  Jardim Santa Rosalia, Sorocaba, São Paulo",-23.4901946,-47.4450244,
,"Avenida Sapopemba, 1304, Vila Leme, São Paulo, São Paulo",-23.38083,-48.73085,
,"Avenida MARANHAO, 235, Parque Paraíso, Itapecerica da Serra, São Paulo",-23.711478,-46.8570274,
,"Rua JOAO FELIZARDO, 477, Vila Antunes, Cajati, São Paulo",-24.7323312,-48.1103442,
,"Rua CIDADE DE SAO SEBASTIAO, 201, JARDIM WALLACE SIMONSEN, São Bernardo do Campo, São Paulo",-23.709775,-46.5395554,
,"Rua PROFESSORA ADELAIDE ESCOBAR BUENO, 397, Munhoz Junior, Osasco, São Paulo",-23.4967947,-46.807083,
,"Praça SÃO PAULO, 97, Centro, Itupeva, São Paulo",-23.1521891,-47.0570231,
,"Rua JOÃO SABIO GONÇALVES, 132, Jardim Ana Luiza, Itupeva, São Paulo",-23.1582683,-47.0422031,
,"Avenida FRANCISCO NOBRE, 100, Medeiros, Jundiaí, São Paulo",-23.1872004,-46.9847659,
,"Rua SERAPHIN GILBERTO CANDELLO, 1519, JD SAO CONRADO, Indaiatuba, São Paulo",-23.08842,-47.2119,
,"Rua Aricá -  Mirim, 63, Vila São Francisco, São Paulo, São Paulo",-23.5245532,-46.4917133,
,"Avenida RENATA, 346, CHACARA BELENZINHO, São Paulo, São Paulo",-23.5733062,-46.5413423,
,"Rua AGENOR DE BARROS, 211, Vila Ponte Rasa, São Paulo, São Paulo",-23.5088206,-46.4894631,
,"Avenida ARQUITETO VILANOVA ARTIGAS, 132, CONJ HABIT. TEOTONIO VILELA, São Paulo, São Paulo",-23.6133707,-46.5009539,
,"Avenida cangaiba, 1659, CANGAIBA, São Paulo, São Paulo",-23.5087736,-46.5389309,
,"Avenida RAGUEB CHOHFI, 4831, Jardim Iguatemi, São Paulo, São Paulo",-23.5944434,-46.4386057,
,"Rua Julio Prestes, 1055, Centro, Sete Barras, São Paulo",-24.3840612,-47.9284094,
,"Rua ITIBERE DA CUNHA, 159, Samambaia, Praia Grande, São Paulo",-24.0327245,-46.5256038,
,"Rua INACIO CERVANTES, 1199, Parque Ipê, São Paulo, São Paulo",-23.5937742,-46.7971128,
