Endereço Completo,Latitude,Longitude,Região
"Rua Domenico Ferrara, 32, Jaraguá, São Paulo, São Paulo",-23.4516587,-46.7458602,São Paulo
"Rua Edson Petri, 215, Colinas Mairipora Ii, Mairiporã, São Paulo",-23.2731589,-46.5904345,Mairiporã
"Praça Comendador Nicolau Scarpa, 80, Centro, Sorocaba, São Paulo",-23.4981851,-47.4607609,Sorocaba
"Avenida Dos Tres Poderes, 608, Res.Central Parque, Salto, São Paulo",-23.20083,-47.28694,Salto
"Avenida Sao Joao, 2555, Jardim Das Colinas, São José Dos Campos, São Paulo",-23.17944,-45.88694,São José dos Campos
"Rua Senhora Maria Aparecida Pessutti Millego, 250, Parque Campolim, Sorocaba, São Paulo",-23.52819,-47.46832,Sorocaba
"Rua Maria Cinto De Biaggi, 164,  Jardim Santa Rosalia, Sorocaba, São Paulo",-23.4901946,-47.4450244,Sorocaba
"Avenida Amador Bueno Da Veiga, 3025, Penha, São Paulo, São Paulo",-23.5218536,-46.5170071,São Paulo
"Avenida Professor Francisco Morato, 3030, Butanta, São Paulo, São Paulo",-23.5769521,-46.7078899,São Paulo
"Rua Miguel  Rodrigues, 112, Vila Beatriz, São Paulo, São Paulo",-23.5495916,-46.6980264,São Paulo
"Rua Amador Bueno, 229, Santo Amaro, São Paulo, São Paulo",-23.6531847,-46.7102133,São Paulo
"Avenida Pereira Barreto, 42, Paraiso, Santo André, São Paulo",-23.6695869,-46.5340595,Santo André
"Avenida Doutor Joao Batista Soares De Queiroz Ju, 398, Jardim Das Industrias, São José Dos Campos, São Paulo",-21.48028,-56.13806,Jardim
"Praça Comandante Eduardo De Oliveira, 126, Parque Edu Chaves, São Paulo, São Paulo",-23.4771251,-46.5638035,São Paulo
"Rua Jose Vieira Guimaraes, 130, Jardim Santa Teresinha, São Paulo, São Paulo",-23.5233272,-46.4251563,São Paulo
"Rua Silvio Lazzari, 31, Vila Gustavo, São Paulo, São Paulo",-23.4870492,-46.5990058,São Paulo
"Avenida Santa Monica, 690, Jardim Santa Monica, São Paulo, São Paulo",-23.4762246,-46.7478914,São Paulo
"Avenida Atalaia Do Norte, 527, Jardim Cumbica (Jardim Preside, Guarulhos, São Paulo",-23.4525325,-46.4413987,Guarulhos
"Avenida Braz Leme, 2040, Santana, São Paulo, São Paulo",-23.5048653,-46.6409346,São Paulo
"Avenida Dr Gastao Vidigal, 1946, Vl Leopoldina, São Paulo, São Paulo",-23.536284,-46.7376947,São Paulo
"Rua Professor Atilio Innocenti, 29, Vila Nova Conceição, São Paulo, São Paulo",-23.70114,-48.10404,Itapetininga
"Rua Doutor Joao Ribeiro, 304, Penha De Franca, São Paulo, São Paulo",-23.5251778,-46.5467519,São Paulo
"Avenida Autonomistas, Dos, 1400, Vila Yara, Osasco, São Paulo",-23.5389781,-46.7653358,Osasco
"Avenida Iguatemi, 777, Vila Brandina, Campinas, São Paulo",-22.8924024,-47.0272094,Campinas
"Rua Domingos De Morais, 2564, Vila Mariana, São Paulo, São Paulo",-23.5990047,-46.6369432,São Paulo
"Rua José Getulio, 142, Liberdade, São Paulo, São Paulo",-23.5672233,-46.6360806,São Paulo
"Avenida Rinaldi, 549, Jd Sylvio Rinaldi I, Jaguariúna, São Paulo",-22.6830969,-46.9918713,Jaguariúna
"Rua Doutor Luiz Mendes De Almeida, 663, Vila Espirito Santo, Sorocaba, São Paulo",-23.50167,-47.45806,Sorocaba
"Avenida Inacio Cunha Leme, 301, Jardim Suzana, São Paulo, São Paulo",-23.5475,-46.63611,São Paulo
"Rua Cambuci Do Vale, 52, Cidade Dutra, São Paulo, São Paulo",-23.7142184,-46.7019877,São Paulo
"Avenida Pompeia, 1115, Vila Pompéia, São Paulo, São Paulo",-23.5339352,-46.6874622,São Paulo
"Estrada Henrique Rosa, 670, Finco (Jd Tupa), São Bernardo Do Campo, São Paulo",-23.69389,-46.565,São Bernardo do Campo
"Rua Municipal, 349, Centro, São Bernardo Do Campo, São Paulo",-23.7112629,-46.5474498,São Bernardo do Campo
"Rua Santa Bernadete, 344, Canhema, Diadema, São Paulo",-23.6728106,-46.6037944,Diadema
"Estrada Cel.Jose Gladiador, 22, Jardim Canaã, São Paulo, São Paulo",-21.76806,-50.77167,Parapuã
"Rua Um, 510, Parque Do Horto, Hortolândia, São Paulo",-22.8535255,-47.1982364,Hortolândia
"Avenida Arnaldo Biagiolli, 151, Pinheirinho, Vinhedo, São Paulo",-23.02972,-46.97528,Vinhedo
