Grupo Cliente,Cód. Cliente,Horário de Entrega
Nenhum,12529,AS 08:00
Nenhum,191873,AS 10:00
Nenhum,217728,AS 08:00
Nenhum,217443,AS 12:00
Nenhum,216263,AS 08:00
Nenhum,11648,AS 08:00
Nenhum,211793,AS 08:00
Nenhum,198247,AS 08:00
